supRS,supFRB,supBasket,supAxoaxonic,SupLTS,SpinyStellate,tuftedIB,tuftedRS,deepBasket,deepAxoaxonic,deepLTS,nontuftedRS,TCR,nRT
50,50,90,90,90,3,60,60,30,30,30,3,0,0
5,5,5,5,5,1,3,3,3,3,3,1,0,0
20,20,20,20,20,20,0,0,0,0,0,0,0,0
20,20,0,0,0,5,5,5,0,0,0,5,0,0
20,20,20,20,20,20,20,20,20,20,20,20,0,0
20,20,20,20,20,30,20,20,20,20,20,20,0,0
2,2,20,20,20,20,50,20,20,20,20,20,0,0
2,2,20,20,20,20,20,10,20,20,20,20,0,0
0,0,0,0,0,20,20,20,20,20,20,20,0,0
5,5,0,0,0,5,5,5,0,0,0,5,0,0
10,10,10,10,10,20,20,20,20,20,20,20,0,0
10,10,10,10,10,10,10,10,10,10,10,20,20,20
10,10,10,10,0,0,10,10,20,10,0,10,0,25
0,0,0,0,0,0,0,0,0,0,0,0,15,10


